Date,Event-Code,Total-Rounds,Fighter_1,Fighter_2,F1_W,Decision - Split,F1_Knockdowns,F1_Significant-Strike-Land,F1_Significant-Strike-Attempt,F1_Total-Strikes-Land,F1_Total-Strikes-Attempt,F1_Takedown-Success,F1_Takedown-Land,F1_Control-Time-Sec,F2_Date,F2_W,F2_Knockdowns,F2_Significant-Strike-Land,F2_Significant-Strike-Attempt,F2_Total-Strikes-Land,F2_Total-Strikes-Attempt,F2_Takedown-Success,F2_Takedown-Land,F2_Control-Time-Sec,Knockdowns_Diff,Significant-Strike-Land_Diff,Significant-Strike-Attempt_Diff,Total-Strikes-Land_Diff,Total-Strikes-Attempt_Diff,Takedown-Success_Diff,Takedown-Land_Diff,Control-Time-Sec_Diff,Fight_ID,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score,F1_media_votes,F2_media_votes,media_votes_draw,media_votes_count,media_votes_correct
2007-08-25,a5c53b3ddb31cc7d,3,Clay Guida,Marcus Aurelio,1,1,2,44,181,71,208,0,1,206,2007-08-25 00:00:00,0,0,40,135,47,142,0,3,0,2,4,46,24,66,0,-2,206,308,Adalaide Byrd,28-29,Jeff Collins,30-27,Patricia Morse Jarman,30-27,3,0,0,3,True
2007-09-08,0aa92558424ced9e,3,Matt Hamill,Michael Bisping,0,1,0,56,124,88,165,6,12,248,2007-09-08 00:00:00,1,0,47,162,65,182,0,0,1,0,-9,38,-23,17,-6,-12,-247,306,Jeff Mullen,29-28,Cecil Peoples,29-28,Chris Watts,27-30,0,2,0,2,True
2007-09-22,bad28b7b34f334de,3,Diego Sanchez,Jon Fitch,0,1,0,11,18,25,34,2,9,216,2007-09-22 00:00:00,1,0,25,40,144,178,3,3,580,0,14,22,119,144,1,-6,364,361,Richard Bertrand,29-28,Cecil Peoples,30-27,Marcos Rosales,28-29,1,3,0,4,True
2007-09-22,bad28b7b34f334de,3,Chuck Liddell,Keith Jardine,0,1,0,31,138,31,138,0,0,0,2007-09-22 00:00:00,1,1,83,176,83,176,0,0,6,1,52,38,52,38,0,0,6,363,Richard Bertrand,29-28,Cecil Peoples,29-28,Marcos Rosales,28-29,0,4,0,4,True
2007-10-20,91181b29be041f1c,3,Jason Black,Matt Grice,0,1,0,10,20,43,56,0,1,36,2007-10-20 00:00:00,1,1,44,73,132,170,3,3,764,1,34,53,89,114,3,2,728,867,Nelson Hamilton,29-28,John Kloock,28-29,Jeff Mullen,29-28,0,1,1,2,True
2007-11-17,1d147d4163a6989b,3,Michael Bisping,Rashad Evans,0,1,0,40,96,52,112,2,2,34,2007-11-17 00:00:00,1,0,23,87,38,108,6,16,462,0,-17,-9,-14,-4,4,14,428,902,Romulo Bittencourt,28-29,Eric Colón,29-28,Douglas Crosby,29-28,0,3,0,3,True
2008-02-02,597db668b01c442c,3,Keita Nakamura,Rob Emerson,0,1,1,57,191,66,203,4,4,88,2008-02-02 00:00:00,1,0,81,212,89,220,0,0,0,-1,24,21,23,17,-4,-4,-88,956,Adalaide Byrd,30-27,Jeff Collins,28-29,Al Lefkowitz,30-27,1,2,0,3,True
2008-03-01,598a58db87b890ee,3,Cheick Kongo,Heath Herring,0,1,0,45,60,93,110,5,5,497,2008-03-01 00:00:00,1,1,57,80,100,125,3,4,351,1,12,20,7,15,-2,-1,-146,974,Todd Agosta,29-28,Nelson Hamilton,29-28,Cecil Peoples,28-29,2,3,0,5,True
2008-04-19,ad047e3073a775f3,3,Rich Clementi,Sam Stout,1,1,0,40,102,69,132,3,9,323,2008-04-19 00:00:00,0,0,48,176,53,181,0,1,11,0,-8,-74,16,-49,3,8,312,990,Douglas Crosby,29-27,Sylvain LeBlanc,28-29,Pasquale Procopio,29-28,3,0,0,3,True
2008-06-07,2efbc83a6b9b7f86,3,Jess Liaudin,Paul Taylor,0,1,0,35,70,57,94,7,13,537,2008-06-07 00:00:00,1,1,45,86,134,180,1,1,189,1,10,16,77,86,-6,-12,-348,1011,Barry Foley,28-29,Jeff Mullen,29-28,Andy Roberts,29-28,2,0,0,2,True
2008-06-07,2efbc83a6b9b7f86,3,Nate Marquardt,Thales Leites,0,1,0,35,72,49,88,5,7,424,2008-06-07 00:00:00,1,1,13,45,33,66,0,1,113,1,-22,-27,-16,-22,-5,-6,-311,1017,Nelson Hamilton,28-27,Cecil Peoples,28-27,Chris Watts,27-28,0,6,0,6,True
