Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score
Cat Zingano,Ketlen Vieira,8882,0,Sal D'Amato,29-28,Dave Hagen,29-28,Marcos Rosales,28-29
Michel Prazeres,Zak Cummings,9068,1,Fabio Alves,29-28,Chris Lee,28-29,Marcelo Vilhena,29-28
Brad Scott,Carlo Pedersoli Jr.,9077,0,Howard Hughes,29-28,Andy Roberts,29-28,Paul Sutherland,28-29
Israel Adesanya,Marvin Vettori,8989,1,Derek Cleary,29-28,Chris Hayes,29-28,Chris Lee,28-29
Cortney Casey,Michelle Waterson,8988,0,Sal D'Amato,28-29,Chris Flores,29-28,Dave Hagen,29-28
Jason Knight,Makwan Amirkhani,9082,0,Mark Collett,29-28,Howard Hughes,29-28,Andy Roberts,27-30
Joseph Benavidez,Sergio Pettis,9124,0,Michael Bell,29-28,Kelvin Caldwell,30-27,Brian Puccillo,28-29
Gian Villante,Sam Alvey,9098,0,Eric Colón,29-28,Tim Corrado,28-29,Dave Tirelli,29-28
Mirsad Bektic,Ricardo Lamas,9127,1,Sal D'Amato,28-29,Chris Lee,29-28,Brandon Mason,30-27
Robert Whittaker,Yoel Romero,9134,1,Sal D'Amato,47-48,Chris Lee,48-47,Brian Puccillo,48-47
Matt Bessette,Steven Peterson,9171,0,Junichiro Kamijo,29-28,Chris Lee,28-29,Glenn Trowbridge,29-28
Ji Yeon Kim,Melinda Fabian,9145,1,Ben Cartlidge,29-28,Garth Harriman,29-28,Charlie Keech,28-29
Matt Schnell,Naoki Inoue,9147,1,Evan Field,29-28,Garth Harriman,28-29,Charlie Keech,29-28
Carla Esparza,Claudia Gadelha,9128,0,Michael Bell,29-28,Kelvin Caldwell,28-29,Brian Puccillo,29-28
Alessio Di Chirico,Julian Marquez,9176,1,Adalaide Byrd,29-28,Sal D'Amato,29-28,Dave Hagen,27-30
Alex Caceres,Martin Bravo,9178,1,Derek Cleary,29-28,Dave Hagen,29-28,Rick Winter,28-29
Joe Giannetti,Michael Trizano,9180,0,Dave Hagen,29-28,Junichiro Kamijo,29-28,Glenn Trowbridge,28-29
Justin Scoggins,Said Nurmagomedov,9212,0,Dave Hagen,29-28,Mike Mikkelson,28-29,Marcos Rosales,29-28
Mike Perry,Paul Felder,9188,1,Michael Bell,29-28,Dave Hagen,28-29,Chris Lee,29-28
Irene Aldana,Lucie Pudilova,9331,1,Steve Armstrong,29-28,Chris Lee,29-28,Don Turnage,28-29
Dennis Bermudez,Rick Glenn,9214,0,Mike Mikkelson,30-27,Tim Turner,28-29,Tony Weeks,29-28
Angela Hill,Cortney Casey,9310,0,Sal D'Amato,29-28,Matt Prieto,28-29,Glenn Trowbridge,30-27
Jarred Brooks,Robert Sanchez,9330,1,Steve Armstrong,29-28,Chris Lee,29-28,Don Turnage,28-29
Kajan Johnson,Rustam Khabilov,9348,0,Ben Cartlidge,29-28,David Lethaby,28-29,Maciej Motylewski,29-28
Andre Fili,Michael Johnson,9311,0,Sal D'Amato,29-28,Kristy Gynan,27-30,Glenn Trowbridge,29-28
Andre Ewell,Renan Barao,9380,1,Derek Cleary,29-28,Hallison Pontes,29-28,Marcelo Vilhena,28-29
Damir Hadzovic,Nick Hein,9250,1,Ben Cartlidge,29-28,Pawel Harasim,29-28,Howard Hughes,28-29
Danny Roberts,David Zawada,9252,1,Ben Cartlidge,29-28,Howard Hughes,29-28,Takeo Kobayashi,27-30
Kyung Ho Kang,Ricardo Ramos,9274,0,Derek Cleary,28-29,Sal D'Amato,29-28,Marcos Rosales,29-28
Julio Arce,Sheymon Moraes,9484,0,Derek Cleary,29-28,Douglas Crosby,30-26,Chris Lee,28-29
Ed Herman,Gian Villante,9474,0,Hubert Earle,29-28,Bob LeBlanc,28-29,David Therien,29-28
Eric Shelton,Joseph Morales,9493,1,Chris Lee,29-28,Ben Ramirez,30-27,Curtis Thrasher,27-30
Demetrious Johnson,Henry Cejudo,9284,0,Sal D'Amato,48-47,Ron McCarthy,48-47,Marcos Rosales,47-48
Luis Pena,Michael Trizano,9498,0,Sal D'Amato,28-29,Chris Lee,29-28,Ben Ramirez,30-27
Amanda Cooper,Ashley Yoder,9497,0,Derek Cleary,29-28,Curtis Thrasher,29-28,Mark Van Tine,27-30
Joby Sanchez,Mark De La Rosa,9492,0,Sal D'Amato,29-28,Hale Hilsabeck,30-27,Curtis Thrasher,28-29
Julija Stoliarenko,Leah Letson,9558,0,Adalaide Byrd,28-29,Junichiro Kamijo,29-28,Ron McCarthy,29-28
Darren Stewart,Edmen Shahbazyan,9571,0,Junichiro Kamijo,28-29,Chris Lee,29-28,Patricia Morse Jarman,29-28
Livinha Souza,Sarah Frota,9727,1,Guilherme Bravo,29-28,Hallison Pontes,28-29,Joseph Terrell,29-28
Max Griffin,Thiago Alves,9724,0,Michael Bell,28-29,Guilherme Bravo,29-28,Hallison Pontes,29-28
Mara Romero Borella,Taila Santos,9725,1,Chris Lee,28-29,Hallison Pontes,29-28,Joseph Terrell,29-28
Kai Kara-France,Raulian Paiva,9738,1,Derek Cleary,29-28,Garth Harriman,28-29,Christopher Shen,29-28
Elias Theodorou,Eryk Anders,9630,1,Sal D'Amato,29-28,Christopher Doyle,29-28,Benoit Roussel,28-29
Keita Nakamura,Salim Touahri,9606,1,Howie Booth,30-27,Howard Hughes,28-29,Charlie Keech,29-28
Hakeem Dawodu,Kyle Bochniak,9635,1,Eric Colón,30-27,Jason Rodgers,30-27,Benoit Roussel,28-29
Dwight Grant,Zak Ottow,9655,0,Chris Lee,29-28,Brian Puccillo,28-29,Rick Winter,29-28
Hannah Cifers,Polyana Viana,9836,1,Dave Hagen,28-29,Ron McCarthy,29-28,Tony Weeks,29-28
Jeff Hughes,Maurice Greene,9870,0,Michael Bell,29-28,Kevin Champion,29-28,Sal D'Amato,28-29
Jack Marshman,John Phillips,9886,1,Mark Collett,29-28,Pawel Harasim,28-29,Andy Roberts,29-28
Dominick Reyes,Volkan Oezdemir,9889,1,Junichiro Kamijo,29-28,Andy Roberts,28-29,Paul Sutherland,29-28
Gunnar Nelson,Leon Edwards,9890,0,Howard Hughes,28-29,Anders Ohlsson,29-27,Andy Roberts,29-28
Alan Jouban,Dwight Grant,9961,0,Derek Cleary,29-28,Ken Coffey,29-28,Anthony Maness,27-30
Antonina Shevchenko,Roxanne Modafferi,9972,0,Mark Collett,29-28,Howard Hughes,29-28,Maria Makhmutova,28-29
Court McGee,Dhiego Lima,9976,0,Richard Bertrand,28-29,Sal D'Amato,30-27,Chris Lee,29-28
Cory Sandhagen,John Lineker,9984,1,Derek Cleary,29-28,Chris Lee,28-29,Barry Luxenberg,29-28
Andrei Arlovski,Augusto Sakai,9981,0,Derek Cleary,28-29,Chris Lee,29-28,Troy Wincapaw,29-28
Elizeu Zaleski dos Santos,Muslim Salikhov,11121,0,Lukasz Bosacki,30-27,David Lethaby,28-29,Clemens Werner,29-28
Alexander Volkanovski,Max Holloway,11126,1,Mark Collett,48-47,David Lethaby,47-48,Clemens Werner,48-47
Jessica Andrade,Rose Namajunas,11124,0,Mark Collett,28-29,Anders Ohlsson,29-28,Vito Paolillo,29-28
Ali AlQaisi,Irwin Rivera,11198,0,Eric Colón,29-28,Dave Hagen,28-29,Junichiro Kamijo,29-28
Andre Fili,Charles Jourdain,11076,1,Derek Cleary,29-28,Eric Colón,29-28,Ron McCarthy,28-29
Carla Esparza,Marina Rodriguez,11169,1,Ben Cartlidge,29-28,Anders Ohlsson,28-29,Clemens Werner,30-27
Charles Rosa,Kevin Aguilar,11077,1,Eric Colón,29-28,Sal D'Amato,29-28,Dave Hagen,28-29
Mauricio Rua,Rogerio Nogueira,11171,1,Ben Cartlidge,29-28,Mark Collett,28-29,David Lethaby,29-28
Frankie Edgar,Pedro Munhoz,11241,1,Derek Cleary,48-47,Eric Colón,48-47,Sal D'Amato,46-49
Angela Hill,Michelle Waterson,11287,0,Derek Cleary,48-47,Sal D'Amato,49-46,Chris Lee,47-48
Andre Ewell,Irwin Rivera,11302,1,Michael Bell,29-28,Dave Hagen,29-28,Junichiro Kamijo,28-29
Darren Stewart,Kevin Holland,11309,0,Eric Colón,29-28,Sal D'Amato,29-28,Ron McCarthy,28-29
Carlos Felipe,Justin Tafa,11634,1,Lukasz Bosacki,29-28,Anders Ohlsson,28-29,Paul Sutherland,29-28
Hakeem Dawodu,Zubaira Tukhugov,11355,1,Ahmed Korchi,29-28,Anders Ohlsson,30-27,Dave Tirelli,28-29
David Zawada,Ramazan Emeev,11633,0,Michael Bell,28-29,Ben Cartlidge,29-28,David Lethaby,29-28
Casey Kenney,Dominick Cruz,11727,0,Michael Bell,28-29,Derek Cleary,29-28,Sal D'Amato,30-27
Cortney Casey,JJ Aldrich,11733,0,Michael Bell,29-28,Sal D'Amato,28-29,Rick Winter,29-28
Michal Oleksiejczuk,Modestas Bukauskas,11791,1,Eric Colón,28-29,Ron McCarthy,29-28,Tony Weeks,29-28
Matt Schnell,Tyson Nam,11650,1,Michael Bell,29-28,Eric Colón,28-29,Anders Ohlsson,29-28
Manel Kape,Matheus Nicolau,11741,0,Dave Hagen,28-29,Chris Lee,29-28,Bryan Miner,29-28
Ignacio Bahamondes,John Makdessi,11829,0,Derek Cleary,28-29,Sal D'Amato,29-28,Dave Hagen,30-27
Movsar Evloev,Nik Lentz,11656,1,Ben Cartlidge,29-28,Eric Colón,28-29,Paul Sutherland,29-28
Beneil Dariush,Diego Ferreira,11681,1,Dave Hagen,29-28,Chris Lee,29-28,Jerin Valel,28-29
Hunter Azure,Jack Shore,11827,0,Michael Bell,30-27,Sal D'Amato,30-27,Dave Hagen,28-29
Alexandr Romanov,Juan Espino,11855,1,Dave Hagen,29-28,Chris Lee,28-29,Tony Weeks,29-28
Justine Kish,Tracy Cortez,11856,0,Derek Cleary,29-28,Sal D'Amato,28-29,Rick Winter,30-27
Alexander Munoz,Luis Pena,11857,0,Michael Bell,28-29,Sal D'Amato,29-28,Rick Winter,29-28
Kai Kamaka,TJ Brown,11887,0,Michael Bell,29-28,Adalaide Byrd,27-30,Sal D'Amato,29-28
Luana Carolina,Poliana Botelho,11889,1,Sal D'Amato,28-29,Dave Hagen,29-28,Junichiro Kamijo,29-28
Dwight Grant,Stefan Sekulic,11877,1,Derek Cleary,28-29,Chris Lee,29-28,Howard Reichbach,29-28
