Fighter_1,Fighter_2,Fight_ID,F1_W,Judge-1-Name,Judge-1-Score,Judge-2-Name,Judge-2-Score,Judge-3-Name,Judge-3-Score
Bryan Caraway,Takeya Mizugaki,4052,0,Ben Cartlidge,28-29,Junichiro Kamijo,29-28,Chris Watts,29-28
Chris Camozzi,Nick Ring,4094,1,Richard Bertrand,29-28,Sal D'Amato,29-28,Benoit Roussel,28-29
Diego Sanchez,Takanori Gomi,4057,1,Ben Cartlidge,28-29,Barry Foley,29-28,Chris Watts,29-28
Hector Lombard,Yushin Okami,4056,0,Barry Foley,29-28,Junichiro Kamijo,29-28,Charlie Keech,28-29
Mike Pyle,Rick Story,4249,1,Dave Hagen,29-28,Junichiro Kamijo,29-28,Chris Lee,28-29
Mizuto Hirota,Rodrigo Damm,4266,0,Mark Collett,28-29,Glenn Trowbridge,29-28,Dean Weir,29-28
Germaine de Randamie,Julie Kedzie,4345,1,Terry Boehlke,30-27,Lester Griffin,28-29,Lamont Nelson,29-28
Ed Herman,Trevor Smith,4346,1,Sal D'Amato,27-30,Lester Griffin,29-28,Chris Lee,30-27
Dennis Bermudez,Max Holloway,4248,1,Lester Griffin,29-28,Mark Smith,29-28,Tony Weeks,28-29
Dustin Pague,Yves Jabouin,4285,0,Dr. Greg Jackson,28-29,Jason Rodgers,29-28,Sal Signorino,29-28
Aaron Riley,Justin Salas,4344,0,Sal D'Amato,29-28,Chris Lee,29-28,Lamont Nelson,28-29
Andrew Craig,Chris Leben,4330,1,Junichiro Kamijo,29-28,Marcos Rosales,30-27,Mark Smith,28-29
Jake Shields,Tyron Woodley,4290,1,Richard Bertrand,29-28,Sal D'Amato,29-28,Chris Lee,27-30
Dan Henderson,Rashad Evans,4295,0,Sal D'Amato,29-28,Dr. Greg Jackson,28-29,Chris Lee,29-28
Erik Perez,Takeya Mizugaki,4424,0,Kelvin Caldwell,29-28,David Hinkel,29-28,Glenn Trowbridge,28-29
Court McGee,Robert Whittaker,4425,1,Kelvin Caldwell,27-30,Sal D'Amato,30-27,Robert Madrigal,29-28
John Howard,Uriah Hall,4399,1,Douglas Crosby,29-28,Steve Rita,28-29,Ryan Shea,30-27
Daron Cruickshank,Yves Edwards,4347,1,Terry Boehlke,27-30,Lester Griffin,30-27,Glenn Hamada,30-27
Sean Spencer,Yuri Villefort,4441,1,Guilherme Bravo,30-27,Ben Cartlidge,29-28,Howard Hughes,28-29
