,Fighter_1,Fighter_2,F1_W,F1_W_media,Judge-1-Name,Judge-2-Name,Judge-3-Name,Judge-1-Score,Judge-2-Score,Judge-3-Score,Judge-1-Agreement,Judge-2-Agreement,Judge-3-Agreement,Cluster,media_Agreement,Judge-1-Agreement_media,Judge-2-Agreement_media,Judge-3-Agreement_media
39,Chris Wilson,John Howard,0,0,Patricia Morse Jarman,Cecil Peoples,Roy Silbert,29-28,28-29,29-28,1,0,1,2,1,1,0,1
40,Dan Cramer,Matt Arroyo,1,1,Douglas Crosby,Patricia Morse Jarman,Roy Silbert,29-28,29-28,28-29,1,1,0,4,1,1,1,0
41,Christian Wellisch,Jake O'Brien,0,0,Nelson Hamilton,Cecil Peoples,Marcos Rosales,29-28,29-28,28-29,1,1,0,2,1,1,1,0
42,Carlos Condit,Martin Kampmann,0,0,Douglas Crosby,Nelson Hamilton,Cecil Peoples,29-28,29-28,28-29,1,1,0,2,1,1,1,0
43,Ryo Chonan,Tj Grant,0,0,Nelson Hamilton,Claude Paquette,Cecil Peoples,30-27,29-28,28-29,1,1,0,4,1,1,1,0
44,Dave Kaplan,George Roop,0,1,Sal D'Amato,Lester Griffin,Tony Weeks,30-27,30-27,28-29,1,1,0,1,0,0,0,1
45,Dan Hardy,Marcus Davis,1,1,Douglas Crosby,Andy Roberts,Tony Weeks,29-28,28-29,29-28,1,0,1,5,1,1,0,1
46,Gleison Tibau,Melvin Guillard,0,1,Dave Hagen,Nelson Hamilton,Glenn Trowbridge,29-28,28-29,29-28,1,0,1,1,0,0,1,0
47,Brad Blackburn,Edgar Garcia,1,0,Adalaide Byrd,Patricia Morse Jarman,Tony Weeks,28-29,29-28,29-28,0,1,1,3,0,1,0,0
48,Clay Guida,Diego Sanchez,0,0,Nelson Hamilton,Patricia Morse Jarman,Glenn Trowbridge,29-28,28-29,29-27,1,0,1,1,1,1,0,1
49,Alan Belcher,Yoshihiro Akiyama,0,0,Adalaide Byrd,Douglas Crosby,Patricia Morse Jarman,30-27,28-29,29-28,1,0,1,3,1,1,0,1
50,Alessio Sakara,Thales Leites,1,0,Jeff Blatnick,Nelson Hamilton,Cardo Urso,29-28,29-28,27-30,1,1,0,5,0,0,0,1
51,John Howard,Tamdan Mccrory,1,0,Douglas Crosby,Brad Duruttya,Cardo Urso,29-28,28-29,29-28,1,0,1,4,0,0,1,0
52,Mark Munoz,Nick Catone,1,0,Ken Barringer,Marcos Rosales,Glenn Trowbridge,28-29,30-27,29-28,0,1,1,4,0,1,0,0
53,Evan Dunham,Marcus Aurelio,1,1,Lester Griffin,Nelson Hamilton,Jana Richmond,30-27,29-28,28-29,1,1,0,5,1,1,1,0
54,Gray Maynard,Roger Huerta,1,1,Chris Lee,Cecil Peoples,Glenn Trowbridge,28-29,30-27,30-27,0,1,1,4,1,0,1,1
55,Carlos Condit,Jake Ellenberger,1,0,Sal D'Amato,Chris Lee,Cecil Peoples,29-28,29-28,28-29,1,1,0,5,0,0,0,1
56,Eliot Marshall,Jason Brilz,1,0,Kent Basinger,Chris Lee,Cecil Peoples,30-27,27-30,30-27,1,0,1,5,0,0,1,0
57,Kyle Kingsbury,Razak Al-Hassan,1,1,Nelson Hamilton,Cecil Peoples,Susan Thomas-Gitlin,29-28,29-28,28-29,1,1,0,4,1,1,1,0
58,Forrest Griffin,Tito Ortiz,1,0,Abe Belardo,Hector Hernandez,Cecil Peoples,30-27,28-29,29-27,1,0,1,5,0,0,1,0
59,Forrest Griffin,Tito Ortiz,1,1,Lester Griffin,Marcos Rosales,Glenn Trowbridge,30-27,29-28,28-29,1,1,0,5,1,1,1,0
60,Jon Madsen,Justin Wren,1,0,Adalaide Byrd,Sal D'Amato,Glenn Trowbridge,30-27,28-29,29-28,1,0,1,4,0,0,1,0
61,Aaron Simpson,Tom Lawlor,1,1,Jeff Blatnick,Eric Colon,Sal D'Amato,28-29,29-28,29-28,0,1,1,4,1,0,1,1
62,Jesse Lennox,Rick Story,0,0,Jeff Blatnick,Eric Colon,Cardo Urso,30-27,28-29,30-27,1,0,1,3,1,1,0,1
63,Jesse Forbes,Nick Catone,0,0,Douglas Crosby,Sal D'Amato,Clark Walters,29-28,29-28,28-29,1,1,0,2,1,1,1,0
64,Gray Maynard,Nate Diaz,1,0,Douglas Crosby,Sal D'Amato,Cardo Urso,30-27,28-29,29-28,1,0,1,3,0,0,1,0
65,Nick Osipczak,Rick Story,0,1,Sal D'Amato,Howard Hughes,Andy Roberts,29-28,29-28,28-29,1,1,0,2,0,0,0,1
66,Jeremy Stephens,Sam Stout,1,1,Pasquale Procopio,David Therien,Tony Weeks,30-27,29-28,28-29,1,1,0,3,1,1,1,0
67,Jason Brilz,Rogerio Nogueira,0,1,Patricia Morse Jarman,Marcos Rosales,Tony Weeks,28-29,29-28,29-28,0,1,1,1,0,1,0,0
68,Evan Dunham,Tyson Griffin,1,1,Chris Franco,Lance Gibson,Tony Weeks,30-27,29-28,28-29,1,1,0,4,1,1,1,0
69,Goran Reljic,Kendall Grove,0,0,Patricia Morse Jarman,Cecil Peoples,Roy Silbert,28-29,29-28,30-27,0,1,1,1,1,0,1,1
70,Daniel Roberts,Forrest Petz,1,1,Patricia Morse Jarman,Roy Silbert,Tony Weeks,28-29,29-28,29-28,0,1,1,4,1,0,1,1
71,Mark Munoz,Yushin Okami,0,0,Luis Cobian,Lester Griffin,Cecil Peoples,29-28,29-28,28-29,1,1,0,1,1,1,1,0
72,Jeremy Stephens,Melvin Guillard,0,1,Kelvin Caldwell,Sal D'Amato,Otto Torriero,28-29,29-28,30-27,0,1,1,3,0,1,0,0
73,Steve Lopez,Waylon Lowe,0,0,Cecil Peoples,Dave Stone,Otto Torriero,29-28,28-29,29-28,1,0,1,2,1,1,0,1
74,Evan Dunham,Sean Sherk,0,1,Kelvin Caldwell,Cecil Peoples,Glenn Trowbridge,28-29,29-28,29-28,0,1,1,2,0,1,0,0
